match,home_team,away_team,market,player_name,line,over_price,agency,under_price
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Kavisha Dilhari,39.5,6.5,Pointsbet,NA
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Kavisha Dilhari,49.5,8,Pointsbet,NA
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Laura Wolvaardt,22.5,1.9,Pointsbet,1.8
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Tazmin Brits,17.5,1.9,Pointsbet,1.8
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Anne Bosch,15.5,1.9,Pointsbet,1.8
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Sune Luus,13.5,1.9,Pointsbet,1.8
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Deandra Dottin,15.5,1.9,Pointsbet,1.8
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Hayley Matthews,22.5,1.9,Pointsbet,1.8
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Stafanie Taylor,19.5,1.9,Pointsbet,1.8
South Africa T20 Women v West Indies T20 Women,West Indies T20 Women,South Africa T20 Women,Player Runs,Shemaine Campbelle,12.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Smriti Mandhana,23.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Shafali Verma,19.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Harmanpreet Kaur,20.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Jemimah Rodrigues,18.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Suzie Bates,18.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Georgia Plimmer,13.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Amelia Kerr,19.5,1.9,Pointsbet,1.8
India T20 Women v New Zealand T20 Women,New Zealand T20 Women,India T20 Women,Player Runs,Sophie Devine,19.5,1.9,Pointsbet,1.8
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Beth Mooney,26.5,1.9,Pointsbet,1.8
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Alyssa Healy,22.5,1.9,Pointsbet,1.8
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Ellyse Perry,22.5,1.9,Pointsbet,1.8
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Chamari Athapaththu,18.5,1.9,Pointsbet,1.8
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Vishmi Gunaratne,14.5,1.9,Pointsbet,1.8
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Harshitha Samarawickrama,14.5,1.9,Pointsbet,1.8
Australia T20 Women v Sri Lanka T20 Women,Sri Lanka T20 Women,Australia T20 Women,Player Runs,Kavisha Dilhari,11.5,1.9,Pointsbet,1.8
